job_id,job_title,salary_usd,experience_level,company_location,education_required,years_experience,posting_date,company_name
AI00144,Deep Learning Engineer,35593,Entry level,China,Bachelor,0,2024-03-09,AI Innovations
AI00149,NLP Engineer,48861,Entry level,Finland,Bachelor,0,2024-07-04,DeepTech Ventures
AI00155,Machine Learning Researcher,57388,Entry level,Canada,Associate,1,2024-01-12,Smart Analytics
AI00166,ML Ops Engineer,63860,Entry level,Canada,Master,0,2024-08-02,Autonomous Tech
AI00168,AI Software Engineer,61572,Entry level,South Korea,Bachelor,0,2024-07-19,DataVision Ltd
AI00170,Data Engineer,145355,Executive,Canada,Master,13,2024-08-25,DeepTech Ventures
AI00171,Deep Learning Engineer,183484,Executive,Singapore,Master,19,2024-11-20,Autonomous Tech
AI00173,AI Specialist,214195,Executive,United Kingdom,Bachelor,19,2025-03-13,Smart Analytics
AI00182,NLP Engineer,178240,Executive,Netherlands,Bachelor,12,2024-06-01,Autonomous Tech
AI00185,AI Research Scientist,275296,Executive,Switzerland,Associate,14,2024-02-06,DataVision Ltd
AI00186,Deep Learning Engineer,300422,Executive,Denmark,Bachelor,11,2024-09-30,Machine Intelligence Group
AI00189,Machine Learning Researcher,210249,Executive,Norway,Master,15,2024-12-20,Machine Intelligence Group
AI00191,Data Engineer,95796,Executive,Austria,Master,13,2024-10-15,Advanced Robotics
AI00192,Head of AI,229098,Executive,Denmark,Master,17,2024-02-01,Predictive Systems
AI00193,ML Ops Engineer,134300,Executive,Ireland,Master,11,2024-07-14,Predictive Systems
AI00169,Head of AI,101054,Mid-Senior level,Germany,Master,3,2024-01-06,Autonomous Tech
AI00172,AI Product Manager,111997,Mid-Senior level,Singapore,PhD,2,2025-03-15,Neural Networks Co
AI00177,AI Software Engineer,56825,Mid-Senior level,China,Associate,3,2024-07-11,AI Innovations
AI00178,Research Scientist,131635,Mid-Senior level,Denmark,PhD,2,2024-03-10,TechCorp Inc
AI00180,AI Consultant,73281,Mid-Senior level,India,Bachelor,2,2025-01-28,Cloud AI Solutions
AI00181,Principal Data Scientist,51907,Mid-Senior level,South Korea,Associate,3,2024-10-07,DataVision Ltd
AI00187,AI Product Manager,116704,Mid-Senior level,Canada,Bachelor,2,2024-03-30,Autonomous Tech
AI00190,NLP Engineer,67708,Mid-Senior level,South Korea,Master,3,2024-06-10,Algorithmic Solutions
AI00204,AI Specialist,59056,Mid-Senior level,Ireland,Associate,2,2024-08-23,Predictive Systems
AI00205,AI Consultant,76940,Mid-Senior level,Austria,Associate,3,2025-03-29,Cognitive Computing
AI00207,Data Scientist,102922,Mid-Senior level,United Kingdom,Associate,4,2024-06-14,Digital Transformation LLC
AI00175,Deep Learning Engineer,82209,Entry level,Germany,Master,1,2024-11-09,Smart Analytics
AI00184,AI Product Manager,46995,Entry level,Austria,Master,1,2024-07-07,DataVision Ltd
AI00188,AI Specialist,98422,Entry level,United States,PhD,0,2024-05-23,Cloud AI Solutions
AI00194,AI Specialist,74408,Entry level,Australia,Associate,1,2024-08-07,Machine Intelligence Group
AI00197,Principal Data Scientist,49644,Entry level,China,Bachelor,0,2025-02-15,Future Systems
AI00199,AI Software Engineer,38540,Entry level,Austria,Associate,1,2025-01-29,Smart Analytics
AI00201,Robotics Engineer,56585,Entry level,Netherlands,Master,1,2024-10-25,Cloud AI Solutions
AI00208,Machine Learning Researcher,44130,Entry level,Japan,Master,0,2024-11-22,DataVision Ltd
AI00210,Data Analyst,48892,Entry level,France,Bachelor,0,2024-10-08,DataVision Ltd
AI00195,AI Architect,201971,Executive,Netherlands,PhD,13,2024-07-17,Future Systems
AI00196,AI Software Engineer,180764,Executive,France,Master,17,2025-02-17,AI Innovations
AI00216,AI Software Engineer,301038,Executive,Norway,PhD,18,2025-04-15,Cognitive Computing
AI00222,NLP Engineer,285880,Executive,Netherlands,Master,18,2024-04-15,Smart Analytics
AI00228,Research Scientist,254305,Executive,United Kingdom,Bachelor,15,2024-03-09,DeepTech Ventures
AI00239,Machine Learning Engineer,223757,Executive,Germany,PhD,12,2025-03-29,Smart Analytics
AI00242,NLP Engineer,138212,Executive,Finland,Master,15,2024-02-19,Future Systems
AI00243,Robotics Engineer,199039,Executive,Canada,Master,15,2024-09-19,AI Innovations
AI00248,Research Scientist,255678,Executive,United States,Bachelor,18,2024-04-12,DataVision Ltd
AI00211,Research Scientist,127478,Mid-Senior level,United Kingdom,Master,4,2025-03-26,DataVision Ltd
AI00214,ML Ops Engineer,62262,Mid-Senior level,Austria,Bachelor,4,2025-03-19,AI Innovations
AI00215,AI Specialist,68595,Mid-Senior level,China,Master,4,2024-01-30,Machine Intelligence Group
AI00219,Principal Data Scientist,53960,Mid-Senior level,Finland,Master,3,2024-07-15,Digital Transformation LLC
AI00223,AI Architect,115263,Mid-Senior level,United Kingdom,Bachelor,3,2025-01-25,Machine Intelligence Group
AI00224,Research Scientist,51882,Mid-Senior level,China,Associate,3,2024-02-07,Quantum Computing Inc
AI00225,Data Scientist,82051,Mid-Senior level,Germany,Master,2,2025-04-20,Predictive Systems
AI00229,Data Analyst,52027,Mid-Senior level,South Korea,Master,2,2024-04-18,Smart Analytics
AI00231,Research Scientist,87011,Mid-Senior level,France,PhD,4,2025-03-30,Future Systems
AI00233,Head of AI,84897,Mid-Senior level,Ireland,Associate,3,2024-10-07,TechCorp Inc
AI00241,Research Scientist,120749,Mid-Senior level,United States,Associate,2,2024-07-01,Cognitive Computing
AI00246,AI Product Manager,63141,Mid-Senior level,Japan,Associate,3,2024-12-09,Digital Transformation LLC
AI00251,Data Engineer,85037,Mid-Senior level,Sweden,Master,3,2024-10-17,DeepTech Ventures
AI00213,Deep Learning Engineer,45429,Entry level,Japan,Associate,0,2024-09-14,Algorithmic Solutions
AI00217,Robotics Engineer,46253,Entry level,China,Associate,1,2025-04-15,DataVision Ltd
AI00218,NLP Engineer,59644,Entry level,Australia,Associate,0,2024-04-20,Future Systems
AI00220,Computer Vision Engineer,94894,Entry level,Netherlands,Associate,1,2025-03-02,Autonomous Tech
AI00230,Robotics Engineer,43072,Entry level,India,Associate,0,2025-01-15,Future Systems
AI00232,AI Research Scientist,36734,Entry level,China,Master,1,2024-10-11,AI Innovations
AI00235,ML Ops Engineer,59357,Entry level,South Korea,Master,0,2024-03-22,DeepTech Ventures
AI00236,Data Scientist,51431,Entry level,Austria,Associate,0,2024-06-20,Digital Transformation LLC
AI00238,Data Analyst,59198,Entry level,Canada,Master,1,2025-04-27,Algorithmic Solutions
AI00240,Deep Learning Engineer,74322,Entry level,France,Bachelor,1,2024-12-16,Advanced Robotics
AI00245,Research Scientist,38497,Entry level,Japan,Bachelor,0,2025-03-06,DataVision Ltd
AI00254,Computer Vision Engineer,110064,Executive,Finland,Bachelor,10,2024-10-10,Smart Analytics
AI00260,Robotics Engineer,152969,Executive,Austria,Associate,16,2025-04-19,Advanced Robotics
AI00264,Data Engineer,141523,Executive,South Korea,Associate,10,2024-01-21,Future Systems
AI00274,Machine Learning Engineer,168619,Executive,Sweden,Bachelor,18,2024-07-04,Predictive Systems
AI00283,NLP Engineer,199482,Executive,France,Bachelor,18,2025-02-17,TechCorp Inc
AI00285,Data Engineer,142301,Executive,France,Master,12,2024-03-14,Future Systems
AI00286,NLP Engineer,178371,Executive,India,Associate,15,2025-04-08,DeepTech Ventures
AI00287,Computer Vision Engineer,157412,Executive,Israel,Associate,12,2024-06-27,Cognitive Computing
AI00288,AI Software Engineer,250562,Executive,Switzerland,Associate,12,2025-02-07,Cognitive Computing
AI00289,Data Engineer,167401,Executive,Ireland,Bachelor,14,2024-12-25,AI Innovations
AI00292,NLP Engineer,147732,Executive,Japan,Master,17,2024-06-01,Neural Networks Co
AI00256,Principal Data Scientist,80307,Mid-Senior level,France,Master,4,2024-08-28,Advanced Robotics
AI00257,AI Product Manager,107321,Mid-Senior level,Germany,Master,3,2025-03-04,Autonomous Tech
AI00266,AI Consultant,81885,Mid-Senior level,United States,PhD,3,2024-12-07,Cloud AI Solutions
AI00272,Autonomous Systems Engineer,68857,Mid-Senior level,Japan,Master,3,2025-01-27,Quantum Computing Inc
AI00277,Head of AI,111502,Mid-Senior level,United Kingdom,Master,4,2024-08-31,Predictive Systems
AI00281,ML Ops Engineer,69822,Mid-Senior level,China,Bachelor,3,2024-06-26,Quantum Computing Inc
AI00284,Deep Learning Engineer,56268,Mid-Senior level,Austria,Bachelor,4,2025-03-08,TechCorp Inc
AI00252,AI Product Manager,42661,Entry level,Ireland,Bachelor,1,2024-12-25,Digital Transformation LLC
AI00258,Head of AI,59373,Entry level,Austria,PhD,0,2024-07-17,DataVision Ltd
AI00259,Machine Learning Researcher,65191,Entry level,France,Master,0,2024-01-20,Predictive Systems
AI00262,Principal Data Scientist,69807,Entry level,United States,Bachelor,0,2024-12-14,Smart Analytics
AI00263,AI Software Engineer,67824,Entry level,United Kingdom,Bachelor,0,2024-05-06,Quantum Computing Inc
AI00269,Data Analyst,60019,Entry level,United Kingdom,PhD,1,2024-03-11,Cognitive Computing
AI00270,ML Ops Engineer,76875,Entry level,United States,Bachelor,0,2024-04-15,Algorithmic Solutions
AI00271,Deep Learning Engineer,64400,Entry level,Australia,Bachelor,1,2024-10-20,AI Innovations
AI00282,Machine Learning Researcher,88380,Entry level,Switzerland,Bachelor,0,2025-04-18,Neural Networks Co
AI00290,Computer Vision Engineer,85328,Entry level,Germany,Bachelor,0,2024-10-25,Smart Analytics
AI00294,AI Consultant,222223,Executive,Netherlands,PhD,19,2024-04-27,Predictive Systems
AI00297,AI Research Scientist,138782,Executive,Finland,Bachelor,19,2025-02-08,DeepTech Ventures
AI00299,Principal Data Scientist,178470,Executive,Australia,PhD,18,2024-02-16,Quantum Computing Inc
AI00301,Machine Learning Engineer,159003,Executive,Japan,PhD,11,2024-02-05,Predictive Systems
AI00302,Computer Vision Engineer,98694,Executive,China,Master,15,2024-05-17,Predictive Systems
AI00312,Machine Learning Researcher,186565,Executive,Norway,Master,19,2025-04-23,Cognitive Computing
AI00314,AI Software Engineer,160286,Executive,Canada,PhD,19,2025-03-14,TechCorp Inc
AI00318,Data Scientist,388754,Executive,Switzerland,Master,16,2024-06-20,DeepTech Ventures
AI00327,AI Architect,238449,Executive,United States,Associate,15,2025-01-15,Cloud AI Solutions
AI00300,Deep Learning Engineer,62936,Mid-Senior level,China,Bachelor,3,2024-10-09,AI Innovations
AI00304,AI Software Engineer,104460,Mid-Senior level,Sweden,Bachelor,3,2025-03-30,Predictive Systems
AI00309,Machine Learning Researcher,92458,Mid-Senior level,France,Associate,3,2024-05-05,Digital Transformation LLC
AI00310,AI Product Manager,80483,Mid-Senior level,Finland,Bachelor,2,2025-03-02,Algorithmic Solutions
AI00311,Machine Learning Researcher,71730,Mid-Senior level,China,PhD,2,2024-04-27,DeepTech Ventures
AI00315,Head of AI,60957,Mid-Senior level,Ireland,PhD,4,2024-03-24,Future Systems
AI00316,Autonomous Systems Engineer,90148,Mid-Senior level,Canada,PhD,4,2025-04-11,Smart Analytics
AI00320,Data Engineer,68001,Mid-Senior level,France,Master,2,2024-02-24,Neural Networks Co
AI00326,AI Consultant,78751,Mid-Senior level,Singapore,Master,3,2025-04-07,TechCorp Inc
AI00293,Autonomous Systems Engineer,50749,Entry level,Canada,Master,0,2024-04-28,Predictive Systems
AI00295,Data Analyst,47958,Entry level,Finland,Bachelor,0,2025-02-03,Advanced Robotics
AI00296,Data Scientist,52877,Entry level,Israel,PhD,1,2024-08-22,Future Systems
AI00303,Data Engineer,50471,Entry level,China,Bachelor,1,2025-01-19,DataVision Ltd
AI00305,Research Scientist,63711,Entry level,Australia,Master,0,2024-08-11,Future Systems
AI00306,Data Analyst,64384,Entry level,Australia,PhD,0,2024-02-23,Smart Analytics
AI00319,AI Consultant,45129,Entry level,China,Master,1,2025-02-18,Cloud AI Solutions
AI00321,Robotics Engineer,51736,Entry level,Japan,Master,0,2024-03-09,TechCorp Inc
AI00323,Data Engineer,55619,Entry level,France,PhD,1,2024-01-22,Cognitive Computing
AI00324,AI Research Scientist,56796,Entry level,Ireland,Associate,1,2024-03-11,Cognitive Computing
AI00325,Robotics Engineer,61808,Entry level,Sweden,Master,0,2024-03-26,TechCorp Inc
AI00328,AI Research Scientist,81908,Entry level,Australia,Associate,0,2025-04-04,Predictive Systems
AI00330,NLP Engineer,70609,Entry level,Canada,Bachelor,1,2025-03-06,Digital Transformation LLC
AI00333,NLP Engineer,44279,Entry level,Israel,PhD,1,2024-05-02,Algorithmic Solutions
AI00334,Research Scientist,36995,Entry level,Finland,Bachelor,0,2025-02-26,Future Systems
AI00335,Principal Data Scientist,193149,Executive,Germany,Associate,15,2024-07-27,Autonomous Tech
AI00340,Data Scientist,99604,Executive,Japan,Master,11,2024-01-04,Smart Analytics
AI00341,AI Research Scientist,262339,Executive,Norway,Associate,12,2024-08-09,Future Systems
AI00346,AI Specialist,153376,Executive,Finland,Master,12,2024-08-12,Neural Networks Co
AI00356,AI Architect,93369,Executive,Ireland,Bachelor,13,2024-06-22,Digital Transformation LLC
AI00358,Machine Learning Engineer,215782,Executive,Switzerland,PhD,13,2024-06-22,DataVision Ltd
AI00361,AI Product Manager,115976,Executive,Austria,Master,12,2024-01-15,DeepTech Ventures
AI00365,Data Analyst,221235,Executive,United Kingdom,Associate,13,2024-04-14,Predictive Systems
AI00366,AI Specialist,213785,Executive,Canada,Master,13,2024-01-29,Autonomous Tech
AI00372,Data Engineer,182747,Executive,Australia,Bachelor,15,2024-10-05,Digital Transformation LLC
AI00375,AI Consultant,133437,Executive,Austria,Associate,13,2024-08-13,Future Systems
AI00336,Data Scientist,88722,Mid-Senior level,Sweden,PhD,3,2024-11-19,Digital Transformation LLC
AI00338,AI Consultant,83381,Mid-Senior level,Singapore,Master,3,2024-10-19,Advanced Robotics
AI00343,Research Scientist,109939,Mid-Senior level,Denmark,PhD,4,2024-07-31,DataVision Ltd
AI00345,Robotics Engineer,102069,Mid-Senior level,Norway,Associate,2,2024-10-19,Algorithmic Solutions
AI00353,AI Software Engineer,72389,Mid-Senior level,Germany,Bachelor,2,2024-05-06,Neural Networks Co
AI00355,NLP Engineer,56276,Mid-Senior level,Austria,PhD,3,2024-10-20,Machine Intelligence Group
AI00359,AI Specialist,110858,Mid-Senior level,Denmark,Master,4,2024-01-08,DataVision Ltd
AI00364,AI Consultant,96419,Mid-Senior level,Norway,PhD,3,2025-01-12,TechCorp Inc
AI00371,Machine Learning Engineer,53318,Mid-Senior level,Israel,Bachelor,3,2024-07-06,Cloud AI Solutions
AI00339,Autonomous Systems Engineer,46591,Entry level,Japan,Master,1,2024-08-19,Digital Transformation LLC
AI00342,Machine Learning Researcher,58899,Entry level,Singapore,Master,1,2025-01-18,Cognitive Computing
AI00344,NLP Engineer,32587,Entry level,Israel,Bachelor,0,2025-04-06,Cognitive Computing
AI00347,Autonomous Systems Engineer,92574,Entry level,Switzerland,PhD,1,2024-10-06,Digital Transformation LLC
AI00349,Data Scientist,84172,Entry level,Germany,Bachelor,1,2024-08-13,Cognitive Computing
AI00360,Autonomous Systems Engineer,77926,Entry level,Australia,PhD,1,2024-07-28,Digital Transformation LLC
AI00362,Principal Data Scientist,71134,Entry level,France,Master,1,2025-01-10,AI Innovations
AI00363,Computer Vision Engineer,63231,Entry level,Germany,Bachelor,1,2024-12-12,Smart Analytics
AI00367,AI Software Engineer,59378,Entry level,Austria,PhD,0,2024-06-02,Digital Transformation LLC
AI00368,AI Architect,61374,Entry level,Norway,Associate,1,2024-03-18,DeepTech Ventures
AI00369,Machine Learning Researcher,77579,Entry level,Norway,PhD,0,2025-04-01,TechCorp Inc
AI00370,AI Research Scientist,61122,Entry level,Austria,Associate,0,2024-03-31,Autonomous Tech
AI00376,AI Architect,90174,Entry level,Denmark,Bachelor,1,2025-01-06,Machine Intelligence Group
AI00386,Head of AI,132585,Executive,Finland,Master,12,2025-03-07,Cognitive Computing
AI00389,AI Architect,135102,Executive,China,Master,17,2024-08-14,Smart Analytics
AI00397,Data Engineer,171375,Executive,Netherlands,Master,17,2024-02-11,Algorithmic Solutions
AI00401,Autonomous Systems Engineer,141125,Executive,Netherlands,Bachelor,14,2024-06-17,Neural Networks Co
